"1","io.github.hidroh.materialistic","hidroh/materialistic","1133","349","1504","119","938","1057","9.436.034.115.138.590","1686","1124","10","[2; 1; 1; 3; 1645; 2; 1; 28; 1; 1; 1]"
"2","io.github.gsantner.memetastic","gsantner/memetastic","353","48","56","15","75","90","6.333.333.333.333.330","171","335","19","[2; 2; 2; 4; 5; 1; 2; 134; 1; 1; 1; 1; 3; 1; 3; 1; 3; 1; 3]"
"4","com.todobom.opennotescanner","ctodobom/OpenNoteScanner","749","111","358","26","73","99","12.893.150.684.931.500","164","677","14","[1; 1; 1; 1; 1; 137; 9; 2; 1; 1; 1; 4; 1; 1; 2]"
"6","com.greenaddress.abcore","greenaddress/abcore","783","18","40","9","38","47","6.023.684.210.526.310","205","698","3","[3; 200; 2]"
"7","com.mkulesh.micromath.plus","mkulesh/microMathematics","213","17","92","13","49","62","1.336.734.693.877.550","411","212","6","[1; 1; 366; 1; 6; 12; 24]"
"9","net.gsantner.markor","gsantner/markor","186","44","122","28","165","193","4.987.878.787.878.780","562","184","40","[4; 2; 1; 3; 1; 5; 1; 1; 91; 213; 5; 5; 4; 2; 4; 5; 1; 2; 2; 2; 1; 1; 12; 11; 5; 1; 10; 2; 1; 1; 10; 1; 1; 3; 1; 2; 115; 3; 2; 1; 24]"
"12","com.a5corp.weather","Sparker0i/Weather","611","21","26","9","29","38","8.275.862.068.965.510","656","588","2","[1; 641; 14]"
"17","fr.free.nrw.commons","commons-app/apps-android-commons","905","295","186","267","960","1227","29.636.458.333.333.300","3231","905","95","[6; 8; 1; 2; 20; 2; 9; 1; 25; 14; 381; 157; 4; 18; 87; 130; 1; 4; 1; 1; 8; 2; 2; 148; 77; 1; 1; 96; 4; 3; 2; 1; 2; 66; 1; 5; 1371; 5; 5; 1; 1; 1; 2; 3; 1; 3; 6; 3; 3; 1; 1; 4; 13; 1; 9; 3; 1; 3; 2; 94; 19; 2; 1; 22; 4; 18; 17; 2; 2; 1; 1; 1; 28; 3; 134; 58; 24; 4; 2; 9; 1; 1; 2; 5; 1; 1; 6; 1; 2; 2; 2; 3; 3; 2; 12; 7]"
"22","us.koller.cameraroll","kollerlukas/Camera-Roll-Android-App","419","49","267","40","101","141","11.009.900.990.099.000","313","369","9","[295; 1; 1; 6; 2; 2; 2; 3; 1]"
"27","org.shadowice.flocke.andotp","andOTP/andOTP","238","20","245","12","129","141","9.054.263.565.891.470","531","237","10","[374; 3; 2; 3; 65; 2; 1; 2; 3; 76]"
